Product Name,Current Price
Apple iPad 11 Gen A16 (2025),"KSh 56,000 - KSh 89,000"
Apple iPad Air 13-inch M3 (2025),"KSh 120,000"
Apple iPad Air 11-inch M3,"KSh 88,000 - KSh 122,000"
Magic Mouse 3 USB-C to C,"KSh 12,500"
Apple Siri Remote (3rd Gen) with USB-C Port,"KSh 10,500"
Apple USB-C to 3.5mm Headphone Jack Adapter,"KSh 3,200"
Apple Lightning to Headphone Jack Adapter,"KSh 3,200"
13-inch Apple MacBook Air M4,"KSh 133,000 - KSh 188,000"
Apple iPhone 16e,"KSh 76,500 - KSh 100,000"
14-inch MacBook Pro M4 Max,"KSh 410,000 - KSh 415,000"
16-inch MacBook Pro M4 Max,"KSh 430,000 - KSh 518,000"
Apple USB-C to C Charge Cable (2m),"KSh 4,500"
Mac Mini M4,"KSh 90,000 - KSh 140,000"
24-inch iMac M4,"KSh 185,000 - KSh 285,000"
Apple USB-C Digital AV Multiport Adapter,"KSh 12,500"
Apple USB-C to MagSafe 3 Cable (2m),"KSh 9,000"
Apple USB C 140W Power Adapter,"KSh 18,000"
Magic Keyboard for iPad Air 11-inch (M2),"KSh 39,500"
Apple Pencil Tips,"KSh 5,500"
Apple Pencil (USB-C),"KSh 14,500"
Apple 70W USB-C Power Adapter,"KSh 11,500"
Apple 96W USB-C Power Adapter,"KSh 13,500"
Apple 240W USB-C Braided Cable,"KSh 6,000"
Apple EarPods USB-C Wired,"KSh 4,500"
14-inch MacBook Pro M4,"KSh 210,000 - KSh 259,000"
Apple AirPods 4 ANC,"KSh 25,000"
Apple AirPods 4,"KSh 18,400"
Apple iPhone 16,"KSh 99,000 - KSh 116,000"
Apple iPhone 16 Plus,"KSh 116,000 - KSh 135,500"
Apple iPhone 16 Pro,"KSh 130,000 - KSh 198,000"
iPhone 16 Pro Max,"KSh 156,500 - KSh 216,000"
Apple Watch Series 10,"KSh 47,000 - KSh 51,500"
Apple 20W USB-C Power Adapter,"KSh 3,500"
Apple Studio Display 27-inch 5K Retina Display,"KSh 252,000"
iPad Pro 13-inch (M4) Magic Keyboard,"KSh 44,000"
iPad Pro 12.9-inch M2 6th Gen Smart Folio Keyboard,"KSh 28,500"
