Product Name,Current Price
Samsung Galaxy Z Flip7 FE,"KSh 107,000 - KSh 115,000"
Samsung Galaxy Buds Core,"KSh 10,000"
Samsung Galaxy S Series Cases,"KSh 2,000"
Samsung Galaxy A Series Cases,KSh 800
Samsung Galaxy A Series Protector,KSh 500
Samsung Galaxy S Series Protector,"KSh 2,000"
Samsung Galaxy F06 5G,"KSh 14,500 - KSh 16,300"
Samsung Galaxy M56,"KSh 40,500"
Samsung Galaxy M16 5G,"KSh 18,500 - KSh 20,000"
Samsung Galaxy F16 5G,"KSh 18,500 - KSh 19,800"
Samsung Galaxy A26 5G,"KSh 28,500 - KSh 32,500"
Samsung Galaxy Tab S10 FE,"KSh 56,000 - KSh 85,000"
Samsung Galaxy Ring,"KSh 45,000"
Samsung Galaxy A56 5G,"KSh 42,000 - KSh 46,000"
Samsung Galaxy A36 5G,"KSh 32,500 - KSh 39,000"
Samsung Galaxy Tab S9 Ultra Smart Keyboard Case,"KSh 6,000"
Samsung Galaxy Tab A9 Plus Smart Keyboard Case,"KSh 6,000"
Samsung Galaxy S25 5G,"KSh 83,000 - KSh 95,000"
Samsung Galaxy S25 Plus,"KSh 102,000 - KSh 111,000"
Samsung Galaxy S25 Ultra,"KSh 123,000 - KSh 135,000"
Samsung Galaxy Z Flip7,"KSh 130,000 - KSh 145,000"
Samsung Galaxy Z Fold7,"KSh 225,000 - KSh 280,000"
Samsung Galaxy M55s 5G,"KSh 35,000"
Samsung Galaxy M05,"KSh 11,500"
Samsung Galaxy A16 4G,"KSh 16,800 - KSh 23,800"
Samsung Galaxy F14 4G,"KSh 14,000"
Samsung Galaxy Watch Ultra Buckled Leather Strap,"KSh 4,500"
Samsung Galaxy S24 FE 5G,"KSh 59,000 - KSh 62,000"
Samsung Galaxy A16 5G,"KSh 26,000"
Samsung Galaxy Fold 6 Silicone Case,"KSh 9,000"
Samsung Galaxy Fold 6 with S-Pen Case,"KSh 10,000"
Samsung 45W 20000 mAh Power Bank,"KSh 9,000"
Samsung Galaxy A06,"KSh 12,300 - KSh 13,300"
Samsung Galaxy Buds 3 Pro,"KSh 17,500"
Samsung Galaxy Watch 7,"KSh 19,500 - KSh 22,000"
Samsung Galaxy Watch Ultra,"KSh 41,000"
Samsung Galaxy Buds 3,"KSh 12,500"
Samsung Galaxy Z Flip 6,"KSh 94,500 - KSh 107,000"
Samsung Galaxy Z Fold 6,"KSh 155,000 - KSh 175,000"
Samsung Galaxy Tab S10 Ultra,"KSh 122,000 - KSh 139,000"
Samsung Galaxy Tab S10 Plus,"KSh 114,000 - KSh 125,000"
Samsung Galaxy Watch FE,"KSh 17,500"
Samsung 40W Car Charger,"KSh 5,500"
Samsung Galaxy M35 5G,"KSh 22,000"
Samsung Wireless Charger,"KSh 7,500"
Samsung Galaxy F55 5G,"KSh 30,500"
Samsung Galaxy A35 5G,"KSh 32,000 - KSh 34,000"
Samsung Galaxy A55 5G,"KSh 40,000 - KSh 49,500"
Samsung Galaxy A25 5G,"KSh 28,000 - KSh 29,500"
Galaxy S24 Ultra Smart View Wallet Case,"KSh 6,000"
Samsung Galaxy M15 5G,"KSh 18,000 - KSh 19,000"
Samsung Galaxy Fit3,"KSh 7,500"
Samsung Galaxy S24 5G,"KSh 68,000 - KSh 73,000"
Samsung Galaxy S24 Plus,"KSh 84,500 - KSh 102,000"
Samsung Galaxy S24 Ultra,"KSh 103,000 - KSh 155,000"
Samsung 10000mAh Battery Pack,"KSh 5,500"
Samsung SmartTag 2,"KSh 4,500"
Samsung Galaxy S23 FE 5G,"KSh 57,500"
Samsung Galaxy Buds FE,"KSh 8,500"
Samsung Galaxy Tab A9 Plus,"KSh 25,500 - KSh 27,500"
Samsung Galaxy Z Flip 5,"KSh 78,500 - KSh 80,000"
Samsung Galaxy Z Fold 5,"KSh 130,500 - KSh 140,000"
Samsung Galaxy M14 4G,"KSh 14,000"
Samsung Galaxy Watch 6 Classic,"KSh 21,500 - KSh 22,500"
Samsung Galaxy Tab S9 Plus,"KSh 106,000"
Samsung Galaxy Tab S9,"KSh 74,000 - KSh 109,000"
Samsung Galaxy Watch 6,"KSh 21,500 - KSh 22,500"
Samsung Galaxy Tab S9 Ultra,"KSh 130,000"
Samsung Galaxy Tab S9 FE Plus,"KSh 70,000 - KSh 85,000"
Samsung Galaxy Tab S9 FE,"KSh 46,000 - KSh 78,500"
Samsung Galaxy F04,"KSh 14,000"
Samsung Galaxy S23 Ultra 5G,"KSh 98,500 - KSh 110,000"
Samsung Galaxy S23 5G,"KSh 63,000 - KSh 68,000"
Samsung 35W PD Power Adapter Duo,"KSh 5,400"
Samsung Galaxy Buds 2 Pro,"KSh 14,500"
Samsung 65W PD Power Adapter Trio,"KSh 6,500"
Galaxy S22 Ultra S-View Flip Cover,"KSh 6,500"
Samsung Wireless Charger Trio,"KSh 11,500"
Galaxy S21 Ultra Cover with S-Pen,"KSh 8,300"
"Samsung 10,000mAh Wireless Power Bank","KSh 8,500"
Samsung USB Type-C to Type-C,"KSh 1,500"
Samsung 15W Fast Charger,"KSh 2,500"
Samsung 25W Fast Charger,"KSh 3,500"
Samsung 45W Fast Charger,"KSh 6,000"
Samsung AKG Type-C Headphones,"KSh 3,800"
Samsung USB Type-C Fast charger,"KSh 1,500"
Samsung Micro USB Data Cable,"KSh 1,500"
